Name,Type,ABV,Score,Avg_Rating,Reviews,Ratings,Brewery,Location,Availability
Kentucky Brunch Brand Stout,Stout - American Imperial,0.12,100,4.9,168,858,Toppling Goliath Brewing Company,Iowa,Rotating/Seasonal
Marshmallow Handjee,Stout - Russian Imperial,0.15,100,4.81,340,1752,3 Floyds Brewing Co.,Indiana,Rotating/Seasonal
Hunahpu's Imperial Stout - Double Barrel Aged,Stout - American Imperial,0.11,100,4.78,170,1650,Cigar City Brewing,Florida,Rotating/Seasonal
Barrel-Aged Abraxas,Stout - American Imperial,0.11,100,4.78,165,1603,Perennial Artisan Ales,Missouri,Rotating/Seasonal
Heady Topper,IPA - New England,0.08,100,4.76,2649,14936,The Alchemist,Vermont,Year-round
Pliny The Younger,IPA - Imperial,0.1025,100,4.75,1018,3452,Russian River Brewing Company,California,Rotating/Seasonal
Mornin' Delight,Stout - American Imperial,0.128,100,4.75,292,1688,Toppling Goliath Brewing Company,Iowa,Rotating/Seasonal
King JJJuliusss,IPA - New England,0.084,100,4.77,132,733,Tree House Brewing Company,Massachusetts,Rotating/Seasonal
King Julius,IPA - New England,0.083,100,4.75,214,1369,Tree House Brewing Company,Massachusetts,Rotating/Seasonal
SR-71,Stout - American Imperial,0.14,100,4.77,72,538,Toppling Goliath Brewing Company,Iowa,Rotating/Seasonal
Very Hazy,IPA - New England,0.086,100,4.74,169,1098,Tree House Brewing Company,Massachusetts,Rotating/Seasonal
CBS (Canadian Breakfast Stout),Stout - American Imperial,0.113,100,4.7,1594,6657,Founders Brewing Company,Michigan,Rotating/Seasonal
Fundamental Observation,Stout - American Imperial,0.14300000000000002,100,4.71,275,1489,Bottle Logic Brewing,California,Rotating/Seasonal
Pliny The Elder,IPA - Imperial,0.08,100,4.69,3881,15428,Russian River Brewing Company,California,Year-round
Hunahpu's Imperial Stout - Laird's Apple Brandy Barrel,Stout - American Imperial,0.115,100,4.76,105,363,Cigar City Brewing,Florida,Rotating/Seasonal
Assassin,Stout - American Imperial,0.12,100,4.7,156,1448,Toppling Goliath Brewing Company,Iowa,Rotating/Seasonal
Fou' Foune,Lambic - Fruit,0.055,100,4.69,580,3196,Brasserie Cantillon,Belgium,Rotating/Seasonal
Juice Machine,IPA - New England,0.08199999999999999,100,4.7,207,1175,Tree House Brewing Company,Massachusetts,Rotating/Seasonal
Julius,IPA - New England,0.068,100,4.68,780,4905,Tree House Brewing Company,Massachusetts,Rotating/Seasonal
Very Green,IPA - New England,0.086,100,4.69,225,1509,Tree House Brewing Company,Massachusetts,Rotating/Seasonal
Barrel Aged Imperial German Chocolate Cupcake Stout,Stout - American Imperial,0.11,100,4.75,52,332,Angry Chair Brewing,Florida,Rotating/Seasonal
Zenne Y Frontera,Lambic - Traditional,0.07,100,4.74,62,354,Brouwerij 3 Fonteinen,Belgium,Rotating/Seasonal
Abner,IPA - New England,0.08199999999999999,100,4.67,425,2842,Hill Farmstead Brewery,Vermont,Rotating/Seasonal
Double Sunshine,IPA - Imperial,0.08,100,4.67,407,2601,Lawson's Finest Liquids,Vermont,Rotating/Seasonal
Bourbon County Brand Stout,Stout - American Imperial,0.147,100,4.66,3232,13242,Goose Island Beer Co.,Illinois,Rotating/Seasonal
Trappist Westvleteren 12 (XII),Quadrupel (Quad),0.102,100,4.66,1980,6771,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Belgium,Year-round
Dinner,IPA - Imperial,0.08199999999999999,100,4.66,352,2634,Maine Beer Company,Maine,Rotating/Seasonal
KBS (Kentucky Breakfast Stout),Stout - American Imperial,0.12300000000000001,100,4.65,3565,13973,Founders Brewing Company,Michigan,Rotating/Seasonal
Duck Duck Gooze,Lambic - Gueuze,0.07,100,4.66,302,1962,The Lost Abbey,California,Rotating/Seasonal
Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged,Stout - American Imperial,0.14,100,4.67,112,970,AleSmith Brewing Company,California,Rotating/Seasonal
JJJuliusss!,IPA - New England,0.068,100,4.67,151,956,Tree House Brewing Company,Massachusetts,Rotating/Seasonal
Very GGGreennn,IPA - New England,0.083,100,4.73,45,288,Tree House Brewing Company,Massachusetts,Rotating/Seasonal
Morning Wood,Porter - Imperial,0.12,100,4.66,198,1226,Funky Buddha Brewery,Florida,Rotating/Seasonal
Lou Pepe - Kriek,Lambic - Fruit,0.05,100,4.65,369,1851,Brasserie Cantillon,Belgium,Rotating/Seasonal
Parabola,Stout - Russian Imperial,0.13,100,4.64,1411,7123,Firestone Walker Brewing Co.,California,Rotating/Seasonal
Westly,Wild Ale,0.085,100,4.69,47,416,Sante Adairius Rustic Ales,California,Rotating/Seasonal
Fuzzy,Wild Ale,0.08,100,4.65,110,1006,Side Project Brewing,Missouri,Rotating/Seasonal
